,count,percentage,EOA_count,EOA_percentage
erd1kmyl7a2dyl3k5vwzrspdkw6hlfdjt3pd6f44r3lnuv0n2nhvffys5f0cyl,4,0.02467764822012462,21,0.12955765315565426
erd1d8ekvvadtzw2x09r9a850p02d6973jqmhxsvsnyfyk3usydppc7qr4snyu,0,0.0,21,0.12955765315565426
erd17ynqudfu0l02f8jztnh8kuhql990m8lrrfhs9ptmx755xh289jhsrhy35s,0,0.0,21,0.12955765315565426
erd1cnkdvc45ls86x4qqkuwy4j4zutmr0npf9dnzug5u4e5x5qtzphnqf74p0g,0,0.0,21,0.12955765315565426
erd1x9q3ht35v37rx4n399atcr6wgl3p8yrjtqm75re48yck3whlc2usyjhe45,2,0.01233882411006231,21,0.12955765315565426
erd1e5vwq6j437sm70jtf8dcsasc8wehx5wwdam9uyx8rgh3jw9mr37s4ayk9p,0,0.0,21,0.12955765315565426
erd19n2mxuvrnysq2298gzuxh8rdh07nnkrm2e8695mxtu47srq24utsjfw4n4,0,0.0,21,0.12955765315565426
erd19dwwqxzcmhug62nvywz8rvl78ycxj2n5ft4l9ehl4wsndk0tzmsqa6tw90,0,0.0,20,0.12338824110062312
erd1h6cve5u67l29c3yh29w55w5m0v6qhhtfvw6khsz2d5k733ec533s2m4q3j,1,0.006169412055031155,20,0.12338824110062312
erd13m2st5rjualh7p7c79srhhekjq67mm4nsa97mpzd99xmt3quej4qt2um3m,0,0.0,20,0.12338824110062312
erd15u9zk6rcvdjcfwdhxzsrx69d7rkznc9q86zm23lytek4anrwpe4sracg6n,0,0.0,20,0.12338824110062312
erd1c5yc7uhyp3h3schl34lnr77ny55hadp4kxa943zjvtpm3435njzq3344mw,0,0.0,20,0.12338824110062312
erd1e2ejl2rxxrkjdqcmvedvujhvumyfqpg8klqpajyf3ujwh9lllcvq2wsy9r,5,0.03084706027515578,19,0.11721882904559196
erd17s0yeflz0sg936jrz34slfypzf5qf5nacpea0kcf6tfk5ngkrxkslmxmld,0,0.0,19,0.11721882904559196
erd1t26ujj8hjhh7y8szmm79d8k3q9k0qx3ugggcrns4xqgyvuw343hq8wmkep,0,0.0,19,0.11721882904559196
erd1vea2lgtphaawgsd236a968zwt7xzkk5t33srw9lz0czgqg2vdhvs6p55ty,0,0.0,19,0.11721882904559196
