,count,percentage
erd1lex5qzqd7ame0068m9f052e67cxqz2ep4trhjmjgfgf2r4mgpg0qeq6h6a,16,0.09871059288049848
erd19hmzqkg4k353faf78flzuy3afgm5v9vdg3zgzhwwrvkarzqy7q6s3qqg8r,16,0.09871059288049848
erd1kw09k7v20k6fxnp8fwne4qltanhwykntj2ee40ul8d48993rgtnqjwg0py,16,0.09871059288049848
erd1kk22s9vkjtdp36j3reac6yn88xwmxqwvcs3zmt3stkcl8as8kndsgpv64u,16,0.09871059288049848
erd1h868uzakcu33m5hj6e7qnjxzmcz4e83hfxyjraxw4gjwpx3kmpasmh40mn,15,0.09254118082546733
erd1tvtefq7jpaar80xutc38vrnmc54ecraq50gtjypk5w6l7xypva9sthnuze,15,0.09254118082546733
erd12tnwv2f3jwg3j8ful3wf0yxkd56fuev4vdktwc50tl2fhhgt39jsguada8,15,0.09254118082546733
erd1pvfvk2d0r0j5fcjdkgzzt940ufjuzaza042x7v5d45r7ardny3eqh34wxu,15,0.09254118082546733
erd13efccqswe9y032evqkvdelfxgsvhw7ugfl02mjczdc2237fe3qysqlg5u6,15,0.09254118082546733
erd12svhvp57vhf7uz66v6mtr8x74e06jy7y6ezssa2etgjky9jstp7sx0tgrm,15,0.09254118082546733
erd1366lyhswllr059z0yhv2aeprkfrw3aqy426wzmgatfuvh9q2xaus4uwzmf,15,0.09254118082546733
erd1ymq0d2ttkmsjxy5gftrlqyn2ank6lurs3f7pjdc9psszpfm2n74st6m63c,15,0.09254118082546733
erd1vrw993xn0rxx48n9gqxz8u9v0yt7rxwu3n98896h36jwxkf6zgsqnvd4gx,15,0.09254118082546733
erd1a3v8pj7h9r2kn9xtrdr0k5naewqfjgrzwkv4t83jvu8gwnytyy4sx00e4c,15,0.09254118082546733
erd1atjjtntjckgcecxj2tsamzucd7cvzxjzz89t4yz9nampzx9yz5jqa5a7cr,14,0.08637176877043617
erd1wmgu0fpggds37xmenjtpf3njnvzw7u0x0c88mqevhgprh96qa2pqygc2ef,14,0.08637176877043617
erd15c9d6dnggt257drduxlpyvqgs3h2x9u9zdxhxr96zl62cd809l9qthac3a,14,0.08637176877043617
erd1gfxz723cdm0ve4nf0j856u4ggqjqdmqvjuuzwuwf20t2rwen4dpqgexrjn,14,0.08637176877043617
erd1llczyd4ugz5yrs7767j88yjqt00kf6vft0k28vvsc9pd5qr00ygq0hxczv,14,0.08637176877043617
erd1x7ufd5tx73h24tl0muj9n69jpfk5468gr25n7ag05x055yd3v35qhd6wn6,14,0.08637176877043617
erd1tk38pvmcjhuk597fpnl036n2ff08qmu5yfys8d4s7nql850z05tssae9uh,14,0.08637176877043617
erd1rkdr5psn6jz3ya4l0q9ka6q5dr0c5ttsz4equsrz5yngyypwv27sj789av,14,0.08637176877043617
erd1mxqgxc7ynza4kp2vttn88ew742tglv28wwvwha2mn7jzs6n8vr8st2wuy4,14,0.08637176877043617
erd10w8e08ntal9rlvuf3e6jhj5464anqt5vv4jvwmyr8w0j3jlnpr4qnanre6,14,0.08637176877043617
erd1cn0dmhyhu57vw8glzxyq3sfkfpq66jltfu505rfyu3apkyzehfrsdydspa,14,0.08637176877043617
erd1cvfjpqtwy5599e0qwkx2s6r4jvsar3jwhrf0e2h2ynvphc2d3erstkqcyk,14,0.08637176877043617
erd10wlrupmjvkp9uerljkqpazedyqwwmtc983zfn7ma8czlrwdg6r6scee06g,14,0.08637176877043617
erd1tx6fs4tpazwv8ntw43gk0e4qxqp2fzasely52stsmhhvrxcand8q0np0hr,13,0.08020235671540502
erd14dkpm66ajqdkdthffdxjyrnmfj24s7wlzw4mz454u03xtudpertqmaxva8,13,0.08020235671540502
erd1zj0rtyqggd0p284vxghj27pwyad6rxule9umxfp04cc232lq60xq53p5s8,13,0.08020235671540502
erd1wpwvlm8s6xwuz42juptlqj8jzfj7du945pt2vwxamyuxlz5vqckqaggcfv,13,0.08020235671540502
erd1mxsw34u7ry4h2xhvay2q3m6hkke5e90trnekzv7fe74srl2ckhdsd4hg7u,13,0.08020235671540502
erd1xvkl7sp3rvhka4sjxpglurdqvwd4c96j39x85l3fa8kalhxt89hqdll94f,13,0.08020235671540502
erd1260gwsj687sergfypafeyqr3ke9hf6ttgspxja7566mx44y8wz8sdgzjcn,13,0.08020235671540502
erd1smuyw4ea870yanwuv9wjl3gz0uhy833el3wzrlnawwlzjarlz5gq26xz82,13,0.08020235671540502
erd165mzwqmfyjw50e3dmwx8ru7wl9adhmh7nlqsugnqrn38c3xh5kvsuk8zhf,13,0.08020235671540502
erd10jdq8c8mnys4vnea0cscqnhdcahqg3vw70jeeeleuj6759yfrvvqzkwg4z,12,0.07403294466037387
erd1eeehs9gxxwe5q7584ew544626xdnu3g6exx9n89luaxkv5syg58qmnflhd,12,0.07403294466037387
erd17au5ytxvs09sr7gt5z0laresqrlycwtacmk2n534rcy8k528ew7sxzc8y4,12,0.07403294466037387
erd1kzenwn35v23mv5ftrt946s2h6h9vn8e8zxmyqualtr36wu9xaxlsfae4ly,12,0.07403294466037387
erd1ehlg9jt6n4h59uetds698pe9ppfv6rthxm65znw5qn5smv8xyvgq8jsgwz,12,0.07403294466037387
erd1yh29uazd4ygw26v5sn32rs33e8m69v0hcs4f80qe4wtss64sr5eqha8fvu,12,0.07403294466037387
erd1jty3y84k3jtsra8uju5nu7f7a88yvs9jvgzma578sf80zdsx364swjqzmf,12,0.07403294466037387
erd1s8am67zgvh6fyzh69m27k3k8sxx7dptuv5m9p025pvzctfadtdkssfdhl2,12,0.07403294466037387
erd1xn560r77w6gt58t9q2xk9y5hlukswqmjplty5wn73eleg7snv59snhls6z,12,0.07403294466037387
erd18espre4msvc2vzdcejfl8wphkyk45xz82jzsjaujjf50qa92j97q7sljyu,12,0.07403294466037387
erd1m5ykjk6atuljnhqr5fltnx03352w0ewyrk8cr5tqutneeaa3m8cshrru26,12,0.07403294466037387
erd14fffr5ne0yv3ls5n35lqhhh35sne756r5ehf64hta3q862pshydscvyxmv,12,0.07403294466037387
erd1agh8kk2e9hudehrtr0lvpagwfq576l9xnfg97474ln9h9wswfl9qmvnlmm,12,0.07403294466037387
erd1sdesjz00hjksw5frmzs27z6wn3hl5mrhpwst5zrwlphvg6d9we4s66gzjg,12,0.07403294466037387
erd1xre77qc62kmem0y6j9xdqcrkf9jgkg65cmn7dgu83ev2ztzxu02qn75ttm,12,0.07403294466037387
erd1kxpy3hjdkk4ajl5hdyhscpyjcrjmt4037pxuyysm8dl036j3r9ssqrrt43,12,0.07403294466037387
erd1yu0rw8v780r4ta7cma2lf58c5t78mu88gmsjfmjmcm0z8fpxyadqjene3w,12,0.07403294466037387
erd187j69y6evc2x52te75yt3vgksstv9dj43rv5kj8qtda8tmqutd3s70td3z,12,0.07403294466037387
erd1r9xz6gm55uxhuuqy8nsm97l9wcql6z27ll8x9rqjd5gnmyc5dn4sf9w5g7,12,0.07403294466037387
erd15rnzhf6j86xsp9nw8w6l7pwmkye9a4n3s26jqfdw7am26lp86rgqhw2kq4,11,0.06786353260534271
erd16n7ucerg4cz4quwqnuw4hnuu622p43zkpra2q7gxpg2gyr80jhjqnwp9lf,11,0.06786353260534271
erd1emewjrf8vznvrkuzrehq9kk2gtqdy6xcys4z5755ta7c93mndalsq6zqns,11,0.06786353260534271
erd1esq43hql5lnsc688ffypc5sxhxslh6xvpsftsn9s3qxkpd5797rq575a3p,11,0.06786353260534271
erd1ftyahfll7zky6q8m8g2vg97up2ajcuccfnladk0h933rs0eql9zsfd5ue3,11,0.06786353260534271
erd1yfxtk0s7eu9eq8zzwsvgsnuq85xrj0yysjhsp28tc2ldrps25mwqztxgph,11,0.06786353260534271
erd1lf5c9vsnw9rmlzrd527d2ljyl4ay8kpky3grzg0hydjqgam05pzserqphn,11,0.06786353260534271
erd19l76u5suhc9vf3r44s2ku374gjvs7nhqrkyujafysqew7w0eppyqzdlfa5,11,0.06786353260534271
erd1dv9sw8a2hy3lv98p3sdqazy420j48wtn3vs9q74ezuamv64tcxrqqxquxv,11,0.06786353260534271
erd1plmhnfyq48kf8etuhy3hr45676kj43fl5ar84r3ruakduqgts8ks06a0ec,11,0.06786353260534271
erd1nuzxjcq9n0t5xc53ftwudzym3n2fjfthl0zhuuu7f0l7ncgaussqe89kgt,11,0.06786353260534271
erd18rt0jpvh34ycv982mpmz36mh3y0qg720nt9xqhky4akskgt6ztmsat0zjv,11,0.06786353260534271
erd1lrdvy7tmsqr8nlyy8zlkc9aary588tze308es480udccqy7pf2gqlgch8z,11,0.06786353260534271
erd1qxa2ttm09cnpnj98qzssv2kawh944cwerwf7u9jfytnrjrsqmcyqkq63rp,11,0.06786353260534271
erd1dmq5tctnsupmzdzha79jgl5qcl9rxks8duxs8qnzr8jn889mt4uqay2dtk,11,0.06786353260534271
erd1ep0m4dpmlzdadess8kld3xt8rzvj36q5sdd0vlae4s535xczwntsk3u3pw,11,0.06786353260534271
erd1h0zetv0jnptzw9w3z8mkc9gjk7wy6ymxggjz8rk2v0mxkz957pusap8cw7,10,0.06169412055031156
erd1m76pncvlmtxsqdq2r30daut929m2wjwnn9rgxlve4syv7e4c6htqxzfwv0,10,0.06169412055031156
erd1wl043yfl5jl4n3c6yumzmh84yrjz7nv96gnycplkh6pts7j0nn6snp0y5a,10,0.06169412055031156
erd1q8gg40znkdpp3ltanlg9454y2c0xz0xmu4sy3pk00gu8nfhv9ldqzkkjuh,10,0.06169412055031156
erd1lccw7srzpezccua97fjevc352vpfjjmyawd7dfgsw0zfxq26qjjs2ed8x0,10,0.06169412055031156
